pair,event_type,lookback_window,session,volatility_regime,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,96,asia,low_vol,4,-3.9070746e-05,-7.0663887e-05,-3.9070746e-05,0.00048176285,0.43887776,0.43887776,0.55644623,0.00049609778,0.00052379711,0.00066828997,1497,1.7272454e-05,False
ALL,breakout_high,96,asia,low_vol,8,-6.6665595e-05,-8.3884798e-05,-6.6665595e-05,0.00071590095,0.44622578,0.44622578,0.55177021,0.00070163777,0.00077349818,0.00098189724,1497,2.5377868e-05,False
ALL,breakout_high,96,asia,medium_vol,1,-9.4871543e-06,-3.9456206e-05,-9.4871543e-06,0.00035751603,0.45964432,0.45964432,0.53625171,0.00035414785,0.00035485371,0.00048628594,731,1.7985935e-05,False
ALL,breakout_high,96,asia,medium_vol,2,-2.2195111e-05,-6.0003172e-05,-2.2195111e-05,0.00047706177,0.45417237,0.45417237,0.54582763,0.00049308556,0.00049665971,0.00064126404,731,2.3718007e-05,False
ALL,breakout_high,96,asia,medium_vol,4,-7.2602507e-05,-0.0001044083,-7.2602507e-05,0.00063950985,0.43502052,0.43502052,0.5622435,0.00066241531,0.0007087083,0.00086418155,731,3.1962909e-05,False
ALL,breakout_high,96,asia,medium_vol,8,-9.4115201e-05,-0.00014861394,-9.4115201e-05,0.00093780089,0.43912449,0.43912449,0.55813953,0.00091924244,0.0010141269,0.0013187759,731,4.8776689e-05,False
ALL,breakout_high,96,asia,unknown,1,-6.4693187e-05,-6.3506169e-06,-6.4693187e-05,0.00025436618,0.5,0.5,0.5,0.00020888753,0.00026844003,0.00035493929,22,7.5673311e-05,True
ALL,breakout_high,96,asia,unknown,2,-9.6411352e-05,-0.00011311775,-9.6411352e-05,0.0003742274,0.36363636,0.36363636,0.63636364,0.00030299342,0.00038661775,0.00050001984,22,0.00010660459,True
ALL,breakout_high,96,asia,unknown,4,-0.00031030144,-0.00021461797,-0.00031030144,0.00060541907,0.36363636,0.36363636,0.63636364,0.00039916164,0.00066377829,0.00069146556,22,0.00014742095,True
ALL,breakout_high,96,asia,unknown,8,-0.00025898308,-0.00068124113,-0.00025898308,0.00096551463,0.31818182,0.31818182,0.68181818,0.00062431323,0.00092553389,0.0010408688,22,0.00022191397,True
ALL,breakout_high,96,london,high_vol,1,-1.0310614e-06,-3.2211987e-05,-1.0310614e-06,0.00053471458,0.47892074,0.47892074,0.52023609,0.0005355195,0.00052960435,0.0007919841,2372,1.6261444e-05,False
ALL,breakout_high,96,london,high_vol,2,-2.3818638e-05,-5.5057479e-05,-2.3818638e-05,0.00072797357,0.46374368,0.46374368,0.53330523,0.00073070161,0.00073560544,0.0010568155,2372,2.1699106e-05,False
ALL,breakout_high,96,london,high_vol,4,-1.9502361e-05,-5.0908806e-05,-1.9502361e-05,0.001039925,0.48271501,0.48271501,0.51559865,0.0010285868,0.0010572931,0.0014999966,2372,3.0798738e-05,False
ALL,breakout_high,96,london,high_vol,8,-2.1265678e-05,-4.0312982e-05,-2.1265678e-05,0.001525625,0.48903879,0.48903879,0.51011804,0.0015006616,0.0015296753,0.0021980631,2372,4.5131817e-05,False
ALL,breakout_high,96,london,low_vol,1,1.4823777e-05,-3.2667782e-06,1.4823777e-05,0.00026761886,0.4969697,0.4969697,0.5010101,0.00031271169,0.00029585734,0.00036268793,495,1.630161e-05,False
ALL,breakout_high,96,london,low_vol,2,2.6389373e-05,2.5372661e-05,2.6389373e-05,0.00038483832,0.52525253,0.52525253,0.46868687,0.00043906945,0.00041648851,0.00052252266,495,2.3485647e-05,False
ALL,breakout_high,96,london,low_vol,4,0.00010714713,4.5382758e-05,0.00010714713,0.00056542359,0.53131313,0.53131313,0.46868687,0.00066158801,0.00057059166,0.00078956562,495,3.5488335e-05,False
ALL,breakout_high,96,london,low_vol,8,0.00019631295,4.3284422e-05,0.00019631295,0.00080133388,0.53131313,0.53131313,0.45858586,0.00096892692,0.00082624524,0.001118403,495,5.0268477e-05,False
ALL,breakout_high,96,london,medium_vol,1,-8.7980523e-06,-1.4534567e-05,-8.7980523e-06,0.00035100692,0.47940403,0.47940403,0.51270815,0.00037456403,0.0003821397,0.00046467453,1141,1.375644e-05,False
