pair,event_type,lookback_window,magnitude_bucket,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,sweep_high,48,large,2,-3.1641889e-06,-1.1573226e-05,-3.1641889e-06,0.00061376945,0.48929214,0.48929214,0.50743829,0.00062089371,0.00061751735,0.00095946669,6117,1.226763e-05,False
ALL,sweep_high,48,large,4,3.2123805e-06,-1.2783351e-05,3.2123805e-06,0.00084789372,0.49092692,0.49092692,0.50645741,0.00086846233,0.00087161688,0.0012924156,6117,1.6524676e-05,False
ALL,sweep_high,48,large,8,9.7493744e-06,0,9.7493744e-06,0.0011773274,0.49893739,0.49893739,0.49926435,0.0012012851,0.0012141654,0.0017652985,6117,2.2570901e-05,False
ALL,sweep_high,48,medium,1,-3.8372104e-06,-1.1390473e-05,-3.8372104e-06,0.00039083989,0.48078496,0.48078496,0.51201962,0.00038326558,0.00038402079,0.00061681892,6115,7.8878648e-06,False
ALL,sweep_high,48,medium,2,-2.3983363e-08,-1.1977052e-05,-2.3983363e-08,0.00054825543,0.48765331,0.48765331,0.50858545,0.00054918075,0.00054726445,0.00086530329,6115,1.1065477e-05,False
ALL,sweep_high,48,medium,4,-1.5849186e-06,-8.0022086e-06,-1.5849186e-06,0.00076603897,0.49354047,0.49354047,0.50351594,0.00076819752,0.00077531635,0.0011552853,6115,1.477376e-05,False
ALL,sweep_high,48,medium,8,-3.4317221e-05,-3.2771574e-05,-3.4317221e-05,0.0010771007,0.48683565,0.48683565,0.51169256,0.0010672551,0.0011189967,0.0016569254,6115,2.118872e-05,False
ALL,sweep_high,48,small,1,1.2257696e-05,-3.6030738e-06,1.2257696e-05,0.00037003023,0.49362328,0.49362328,0.50130804,0.00037218352,0.00035977816,0.00057488591,6116,7.3510255e-06,False
ALL,sweep_high,48,small,2,1.4613342e-05,-1.078815e-05,1.4613342e-05,0.00052144271,0.48790059,0.48790059,0.50784827,0.00053608703,0.00051991454,0.00082559931,6116,1.055688e-05,False
ALL,sweep_high,48,small,4,1.2938706e-05,0,1.2938706e-05,0.00074692905,0.49787443,0.49787443,0.49950948,0.00076523561,0.00074192136,0.0012129093,6116,1.5509385e-05,False
ALL,sweep_high,48,small,8,1.2220217e-05,-1.8399361e-05,1.2220217e-05,0.0010246677,0.49068018,0.49068018,0.50686723,0.0010632554,0.0010471828,0.0015483598,6116,1.9798767e-05,False
ALL,sweep_high,96,large,1,7.5598271e-06,-8.1774507e-06,7.5598271e-06,0.0004431787,0.48931239,0.48931239,0.50553696,0.00045350093,0.00044769622,0.00071524688,3883,1.147816e-05,False
ALL,sweep_high,96,large,2,-7.0980638e-06,-4.5295189e-06,-7.0980638e-06,0.00062853996,0.49317538,0.49317538,0.50321916,0.00063659056,0.00063847336,0.00095851332,3883,1.5382058e-05,False
ALL,sweep_high,96,large,4,-3.4979786e-06,-1.8355276e-05,-3.4979786e-06,0.00086025866,0.48853979,0.48853979,0.50811228,0.00087647414,0.00088805923,0.001289646,3883,2.069602e-05,False
ALL,sweep_high,96,large,8,9.9753891e-06,-2.356351e-05,9.9753891e-06,0.0011734036,0.49111512,0.49111512,0.50682462,0.0012048052,0.0012140144,0.0017468861,3883,2.803373e-05,False
ALL,sweep_high,96,medium,1,-4.1860194e-06,-5.8393412e-06,-4.1860194e-06,0.0004087704,0.4878866,0.4878866,0.50489691,0.00039936446,0.00040174169,0.00065444338,3880,1.0506455e-05,False
ALL,sweep_high,96,medium,2,-6.3488776e-06,-1.8277803e-05,-6.3488776e-06,0.0005678093,0.48685567,0.48685567,0.51005155,0.00056647718,0.00057041047,0.00090280358,3880,1.4493638e-05,False
ALL,sweep_high,96,medium,4,2.8716509e-06,-1.8355126e-05,2.8716509e-06,0.00079884939,0.48685567,0.48685567,0.51005155,0.00079294884,0.0007901984,0.0012073192,3880,1.9382342e-05,False
ALL,sweep_high,96,medium,8,-3.3976341e-05,-4.4576497e-05,-3.3976341e-05,0.0010915549,0.48221649,0.48221649,0.51623711,0.001081523,0.0011247295,0.0017289305,3880,2.7756306e-05,False
ALL,sweep_high,96,small,1,1.5549994e-05,-3.566461e-06,1.5549994e-05,0.00037769117,0.49471786,0.49471786,0.50141716,0.00037905388,0.00036859819,0.00056609379,3881,9.0869171e-06,False
