pair,session_date,fx_session_date,session,session_start,session_end,session_return,session_abs_return,session_range,session_direction,session_direction_sign,volatility_regime,range_regime,directional_efficiency_ratio,close_location_value,structural_breach_presence,breach_direction,breach_magnitude_bucket,breakout_event_count,sweep_event_count,breach_event_count
EURUSD,2023-05-11,2023-05-11,new_york,2023-05-10 22:00:00+00:00,2023-05-11 21:45:00+00:00,-0.0059367175,0.0059367175,0.007930799,down,-1,medium_vol,expanded,0.37995338,0.19690011,breakout,downside,medium,7,8,15
EURUSD,2023-05-11,2023-05-11,asia,2023-05-11 00:00:00+00:00,2023-05-11 06:45:00+00:00,-0.0047574606,0.0047574606,0.0062916847,down,-1,high_vol,expanded,0.49690918,0.019536903,breakout,downside,large,12,5,17
EURUSD,2023-05-11,2023-05-11,london,2023-05-11 07:00:00+00:00,2023-05-11 12:45:00+00:00,0.00022414448,0.00022414448,0.002753775,up,1,low_vol,compressed,0.035226456,0.49335548,sweep,downside,large,0,12,12
EURUSD,2023-05-12,2023-05-12,new_york,2023-05-11 22:00:00+00:00,2023-05-12 20:45:00+00:00,-0.0061327776,0.0061327776,0.0064946069,down,-1,medium_vol,normal,0.55675676,0.026093089,breakout,downside,large,21,12,33
EURUSD,2023-05-12,2023-05-12,asia,2023-05-12 00:00:00+00:00,2023-05-12 06:45:00+00:00,0.0015212122,0.0015212122,0.0020252283,up,1,low_vol,normal,0.29749104,0.75113122,sweep,upside,large,4,12,16
EURUSD,2023-05-12,2023-05-12,london,2023-05-12 07:00:00+00:00,2023-05-12 12:45:00+00:00,-0.0038384116,0.0038384116,0.0049638576,down,-1,high_vol,normal,0.46533555,0.10691244,breakout,downside,large,5,16,21
EURUSD,2023-05-14,2023-05-14,new_york,2023-05-14 21:00:00+00:00,2023-05-14 21:45:00+00:00,-0.00069048693,0.00069048693,0.00092064924,down,-1,low_vol,compressed,0.85227273,0.185,none,none,none,0,0,0
EURUSD,2023-05-15,2023-05-15,new_york,2023-05-14 22:00:00+00:00,2023-05-15 21:45:00+00:00,0.0018609365,0.0018609365,0.0033441581,up,1,low_vol,compressed,0.20803296,0.80991736,sweep,downside,large,0,3,3
EURUSD,2023-05-15,2023-05-15,asia,2023-05-15 00:00:00+00:00,2023-05-15 06:45:00+00:00,0.001566416,0.001566416,0.0021975896,up,1,low_vol,normal,0.2800659,0.90566038,breakout,upside,large,9,4,13
EURUSD,2023-05-15,2023-05-15,london,2023-05-15 07:00:00+00:00,2023-05-15 12:45:00+00:00,0.00086018933,0.00086018933,0.0032521597,up,1,medium_vol,compressed,0.12508361,0.66478076,sweep,upside,large,4,8,12
